file,Code Lines
campusrepair/security/CurrentUser.java,25
campusrepair/service/QueryService.java,7
campusrepair/service/FileStorageService.java,6
campusrepair/security/JwtAuthenticationFilter.java,42
campusrepair/service/AcceptanceService.java,8
campusrepair/dto/ReworkRequest.java,12
campusrepair/domain/OrderStatusLog.java,24
campusrepair/domain/RepairRecord.java,28
campusrepair/repository/AcceptanceRepository.java,12
campusrepair/repository/RepairLocationRepository.java,15
campusrepair/controller/AcceptanceController.java,90
campusrepair/dto/RepairOrderCreateRequest.java,19
campusrepair/repository/RepairImageRepository.java,21
campusrepair/controller/QueryStatisticsController.java,41
campusrepair/domain/RepairType.java,19
campusrepair/service/RepairCatalogService.java,8
campusrepair/domain/AcceptanceRecord.java,28
campusrepair/dto/DispatchAuditRequest.java,13
campusrepair/security/ApiSecurityExceptionHandler.java,31
campusrepair/dto/LoginRequest.java,5
campusrepair/service/impl/AcceptanceServiceImpl.java,86
campusrepair/repository/EvaluationRepository.java,12
campusrepair/dto/DispatchOrderRequest.java,13
campusrepair/repository/UserPermissionRepository.java,49
campusrepair/service/MaintenanceService.java,12
campusrepair/dto/MaintenanceTaskItem.java,10
campusrepair/dto/AcceptanceRequest.java,13
campusrepair/service/impl/UserPermissionServiceImpl.java,83
campusrepair/common/ApiResponse.java,4
campusrepair/domain/RepairLocation.java,20
campusrepair/controller/MaintenanceController.java,54
campusrepair/CampusRepairApplication.java,7
campusrepair/security/SecurityConfig.java,35
campusrepair/service/DispatchService.java,8
campusrepair/domain/RepairOrder.java,52
campusrepair/domain/SysUser.java,42
campusrepair/common/ErrorCode.java,17
campusrepair/service/impl/RepairOrderServiceImpl.java,163
campusrepair/service/RepairOrderService.java,11
campusrepair/service/impl/StatisticsServiceImpl.java,106
campusrepair/controller/RepairOrderController.java,62
campusrepair/controller/RepairCatalogController.java,27
campusrepair/repository/RepairOrderRepository.java,33
campusrepair/config/WebConfig.java,24
campusrepair/domain/OrderStatus.java,24
campusrepair/storage/LocalFileStorageServiceImpl.java,94
campusrepair/service/impl/RepairCatalogServiceImpl.java,26
campusrepair/dto/MaintenanceProcessRequest.java,17
campusrepair/service/impl/MaintenanceServiceImpl.java,265
campusrepair/controller/UserController.java,57
campusrepair/dto/EvaluationRequest.java,17
campusrepair/dto/RepairOrderUpdateRequest.java,14
campusrepair/domain/RepairImage.java,24
campusrepair/repository/MaintenanceRepository.java,18
campusrepair/controller/DispatchController.java,64
campusrepair/domain/DispatchRecord.java,24
campusrepair/repository/OrderStatusRepository.java,21
campusrepair/security/JwtTokenProvider.java,56
campusrepair/service/impl/DispatchServiceImpl.java,148
campusrepair/service/impl/OrderStateServiceImpl.java,118
campusrepair/service/OrderStateService.java,11
campusrepair/repository/RepairTypeRepository.java,15
campusrepair/domain/SysUserRole.java,21
campusrepair/common/GlobalExceptionHandler.java,68
campusrepair/domain/AbstractAuditableEntity.java,16
campusrepair/config/MybatisPlusConfig.java,6
campusrepair/dto/TypeCountItem.java,2
campusrepair/service/impl/EvaluationServiceImpl.java,72
campusrepair/service/StatisticsService.java,11
campusrepair/common/BusinessException.java,12
campusrepair/domain/SysRole.java,25
campusrepair/controller/HealthController.java,4
campusrepair/service/EvaluationService.java,6
campusrepair/service/impl/QueryServiceImpl.java,57
campusrepair/service/UserPermissionService.java,11
campusrepair/domain/EvaluationRecord.java,22
campusrepair/repository/DispatchRepository.java,13
